text,link,race_label,race_discussed
"HAPPY BIRTHDAY for Saturday, Feb. 25, 2017: This year you head in a new direction. Your determinatio",https://drive.google.com/open?id=1tkTCeDSozTYDkYtAKKaYoykE9KcvgD8j&usp=drive_copy,N/A - not specified,0
"caryn and i raised our kids together. we were kids together, but we didn't know it then. we thought ",https://drive.google.com/open?id=1uDGrBXDmlRUK7wY6A68k2ANwvmVmHaKH&usp=drive_copy,White,1
christopher weigl was ready to submit his ­final project of the semester wednesday for a multimedia,https://drive.google.com/open?id=1UJU6q-Tc-gtkp_EWtYXZhDvxgMhiqlTD&usp=drive_copy,N/A - not specified,0
South African riot police fired rubber bullets to disperse immigrants and protesters who clashed dur,https://drive.google.com/open?id=1NTqV9ZsSQOmH_lNu9gobripVdtOcRhVf&usp=drive_copy,Black,1
"q. i am in seventh grade. i think that my parents' marriage is happy, but they have problems. i thin",https://drive.google.com/open?id=1QSKde0Pks3kjqjMS0qa2OMfERSyp3kY_&usp=drive_copy,N/A - not specified,0
christopher weigl was ready to submit his ­final project of the semester wednesday for a multimedia,https://drive.google.com/file/d/1UJU6q-Tc-gtkp_EWtYXZhDvxgMhiqlTD/view,N/A - not specified,0
then an ambitious 13-part series produced for public radio about ordinary people struggling to live,https://drive.google.com/open?id=1nk_CY6Ww0V86tLUp0nfvhqmoL8T8QrF5&usp=drive_copy,N/A - not specified,0
"olympic cycling champion tyler hamilton, who is facing a two-year doping ban, was dropped last week ",https://drive.google.com/file/d/1nLlJVrZBboIWtN15TTLfchg9vSpKYG99/view,N/A - not specified,0
mayor menino yesterday effectively quashed boston university president john silber's publicly expres,https://drive.google.com/file/d/1EYWP4Cz4YcdRQTGP6PkEtN1jclhDCbJc/view,N/A - not specified,0
"washington - americans increased their spending more slowly in march, suggesting some are worried th",https://drive.google.com/file/d/1nkpHmV6jnWpHX7OmWocNrfsElcJzwReT/view,N/A - not specified,0
"friends and foes agree on this much about stephen p. tocco: the man sure can make trouble, but he kn",https://drive.google.com/file/d/1TjdCFopoXBLr-RWMI6X5wzBX4Ps4Lfty/view,N/A - not specified,0
"president beji caid essebsi said the bardo museum attack involved three men, one of whom escaped. tu",https://drive.google.com/file/d/1DSv8RgG5sPymsiKovtuGopC4NlxUzjje/view,N/A - not specified,0
It's expected that virtually all home audio devices will be wireless by 2019.Left: Powerbeats3 from,https://drive.google.com/file/d/1hlaMcW7ljP9YrOa9vDohwxn-POr8qjM-/view,N/A - not specified,0
"gerhard lauck works hard to dispel people's assumptions about neo-nazis: he laughs frequently, makes",https://drive.google.com/file/d/1jaApEmHqYa04O4UKMABr3Tq0s9btnNOQ/view,Asian,1
"cambridge - when dancer/choreographer beth soll left boston in 1997, it was a real loss to the area'",https://drive.google.com/file/d/1Nw_s0gU0bUU9uir2uYWrBpBBxsnjXCT6/view,N/A - not specified,0
"the fbi said the ""incognito bandit"" is considered to be armed and dangerous. the fbi is offering a r",https://drive.google.com/file/d/1zUbOP62NCFWS01eGi8t840yMznDz3kwt/view,N/A - not specified,0
The St. John's Prep hockey team took the ice at Essex Sports Center on Friday afternoon with its fat,https://drive.google.com/file/d/1pGXL523cAH-as3NFvuQK0BPHj9O_alLA/view,N/A - not specified,0
"the red saab turns sharply around the corner into leonard morse hospital, almost hitting helen moore",https://drive.google.com/file/d/1Y_uGpdiZrY9jYvWw2aK5YNfpwP_68CuL/view,N/A - not specified,0
"A Jeep Wagoneer, believed to be from the 1960s, was pulled from the shed in two pieces. For decades,",https://drive.google.com/file/d/1jJRiBWbIT0OpnnLu826QuIYCOfHJH0MJ/view,N/A - not specified,0
"kerafast helps research teams find biologic materials they need, like the cell culture at right. chi",https://drive.google.com/file/d/1-SBwvC5ZVFqKH6sB2HDfHxYIA4K-f5i1/view,N/A - not specified,0
